Descargas realizadas el 25/07/2022 13:14 de Gestión Embase
__________________________________________________________
18/06/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
19/06/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
20/06/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
21/06/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
22/06/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
23/06/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
24/06/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
25/06/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
26/06/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
27/06/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
28/06/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 22; 
29/06/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 30; 
30/06/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano;  ; 

